STATE,ST_CASE,VE_TOTAL,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,MILEPT,LATITUDE,LONGITUD
Alabama,10001,1,1,127,0,1,1,2015,1754,33.87865278,-87.32532778
Alabama,10002,1,1,83,0,1,1,2015,3604,34.91044167,-86.90870833
Alabama,10003,1,2,11,0,1,1,2015,1958,32.14200556,-85.75845556
Alabama,10004,1,1,45,0,4,1,2015,566,31.43981389,-85.5103
Alabama,10005,2,2,45,2050,7,1,2015,308,31.31933056,-85.5151
Alabama,10006,1,2,111,0,8,1,2015,0,33.43849444,-85.38926667
Alabama,10007,1,2,89,1730,8,1,2015,1030,34.77304444,-86.52766389
Alabama,10008,1,1,73,350,3,1,2015,0,33.46248889,-86.87090556
Alabama,10009,1,1,117,47,13,1,2015,2520,33.2361,-86.81392222
Alabama,10010,2,2,33,0,5,1,2015,34,34.75836667,-87.60750833
Alabama,10011,2,2,83,0,7,1,2015,809,34.76602778,-86.87921111
Alabama,10012,3,6,95,1500,9,1,2015,2944,34.36911667,-86.28887778
Alabama,10013,1,1,87,0,10,1,2015,0,32.55177222,-85.74464444
Alabama,10014,1,1,11,0,11,1,2015,1454,32.16270833,-85.71402778
Alabama,10015,1,1,127,0,11,1,2015,0,33.96415,-87.60569722
Alabama,10016,2,2,81,2340,13,1,2015,0,32.61823889,-85.37138333
Alabama,10017,1,1,97,0,14,1,2015,0,30.50592778,-88.233925
Alabama,10018,1,2,1,0,16,1,2015,0,32.52434444,-86.67211944
Alabama,10019,1,1,121,0,19,1,2015,0,33.22930833,-86.26927778
Alabama,10020,2,3,121,2910,15,1,2015,0,33.46581111,-86.04999167
Alabama,10021,2,4,115,0,23,1,2015,1446,33.56601667,-86.52102222
Alabama,10022,1,2,127,0,26,1,2015,585,33.84021944,-87.33155833
Alabama,10023,1,1,11,0,12,1,2015,210,32.21718333,-85.91875
Alabama,10024,1,1,5,0,2,1,2015,0,31.83945278,-85.2207
Alabama,10025,1,2,125,0,15,1,2015,0,33.08890556,-87.67459722
Alabama,10026,1,1,73,2052,13,1,2015,0,33.46460556,-86.941675
Alabama,10027,2,3,3,2890,17,1,2015,0,30.47271111,-87.66633056
Alabama,10028,1,1,1,2540,10,1,2015,0,32.43066389,-86.51791667
Alabama,10029,1,1,69,0,23,1,2015,2228,31.16130833,-85.19056111
Alabama,10030,2,5,21,0,24,1,2015,784,32.78083333,-86.4702
Alabama,10031,1,1,93,0,24,1,2015,0,33.92139167,-87.86725
Alabama,10032,1,1,15,0,25,1,2015,0,33.74095278,-85.88291667
Alabama,10033,1,2,123,60,23,1,2015,0,32.87644722,-85.87761667
Alabama,10034,6,10,3,860,15,1,2015,448,30.65515556,-87.90710278
Alabama,10035,2,2,73,20,28,1,2015,1410,33.58196667,-86.92233333
Alabama,10036,2,5,97,0,19,1,2015,142,30.85440833,-88.19383056
Alabama,10037,1,1,3,0,26,1,2015,0,30.73176944,-87.78450833
Alabama,10038,1,1,97,2100,27,1,2015,0,30.612125,-88.07764444
